country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","21-08-2025 09:00:00",21.258815,81.578979,NH3,5,5,5
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","21-08-2025 09:00:00",21.258815,81.578979,CO,16,22,18
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","21-08-2025 09:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","21-08-2025 09:00:00",21.237755,81.705301,NO2,13,14,13
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","21-08-2025 09:00:00",21.237755,81.705301,CO,8,15,10
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","21-08-2025 09:00:00",21.224231,81.408350,PM10,5,26,10
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","21-08-2025 09:00:00",21.224231,81.408350,NH3,3,4,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","21-08-2025 09:00:00",21.224231,81.408350,SO2,6,8,7
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","21-08-2025 09:00:00",22.08815,82.13737,PM2.5,12,58,28
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","21-08-2025 09:00:00",25.03280,85.41948,NH3,5,8,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","21-08-2025 09:00:00",25.03280,85.41948,SO2,17,24,21
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","21-08-2025 09:00:00",25.892357,86.590325,PM2.5,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","21-08-2025 09:00:00",25.366336,87.117468,OZONE,NA,NA,NA
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","21-08-2025 09:00:00",28.570173,76.933762,PM10,45,72,58
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","21-08-2025 09:00:00",28.570173,76.933762,NO2,7,18,13
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","21-08-2025 09:00:00",28.570173,76.933762,CO,23,52,28
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","21-08-2025 09:00:00",28.570173,76.933762,OZONE,6,55,11
India,Delhi,Delhi,"Narela, Delhi - DPCC","21-08-2025 09:00:00",28.822836,77.101981,NH3,5,13,8
India,Delhi,Delhi,"Narela, Delhi - DPCC","21-08-2025 09:00:00",28.822836,77.101981,OZONE,16,23,19
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","21-08-2025 09:00:00",28.567890,77.250515,NH3,4,9,6
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","21-08-2025 09:00:00",28.567890,77.250515,CO,4,30,14
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","21-08-2025 09:00:00",28.6573814,77.1585447,PM10,37,392,71
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","21-08-2025 09:00:00",28.530785,77.271255,PM2.5,12,48,27
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","21-08-2025 09:00:00",28.4706914,77.1099364,OZONE,18,63,25
India,Delhi,Delhi,"Bawana, Delhi - DPCC","21-08-2025 09:00:00",28.776200,77.051074,NO2,2,16,8
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","21-08-2025 09:00:00",28.7256504,77.2011573,PM2.5,20,74,38
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","21-08-2025 09:00:00",28.7256504,77.2011573,CO,19,42,28
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","21-08-2025 09:00:00",28.7256504,77.2011573,OZONE,18,63,23
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","21-08-2025 09:00:00",28.5512005,77.2735737,PM2.5,7,49,28
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","21-08-2025 09:00:00",28.656756,77.227234,NO2,35,191,63
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","21-08-2025 09:00:00",28.623763,77.287209,PM10,48,105,73
